State,District,Total Population,Households,Total Working Population,Electricity_Deprivation,Average Household Size,Electricity Access,Average Annual Income,MPI,Headcount_Ratio (H)
Assam,Chirang,482162,97395,193894,27.80536,4.950582678782278,72.19463999999999,60320.18284311082,0.16646576,39.442547
Assam,Darrang,928500,187783,324843,24.08561,4.944537045419447,75.91439,52478.67528271406,0.19091607,42.354756
Assam,Dhemaji,686133,129869,316800,36.13246,5.283270064449561,63.86754,69257.70951112977,0.13605604,33.365669999999994
Assam,Dhubri,1949258,414674,669819,29.11088,4.700699826851936,70.88911999999999,51544.15167207214,0.24239511,51.841995
Assam,Dibrugarh,1326335,276867,560557,23.2925,4.790513134465285,76.7075,63395.40915379599,0.13941937,30.930364
Assam,Dima Hasao,214102,42252,85028,20.80231,5.06726308813784,79.19769,59570.67192272842,0.15911318,34.406412
Assam,Goalpara,1008183,198454,362573,30.210890000000003,5.080184828726052,69.78911,53944.521976664946,0.19505473,41.231535
Assam,Golaghat,1066888,227197,479928,11.27778,4.6958718645052535,88.72222,67475.8737561956,0.10365628,24.435699
Assam,Hailakandi,659296,143350,214240,44.28458,4.599204743634461,55.71542,48742.90151919624,0.26755972,56.88139
Assam,Jorhat,1092256,236262,498618,12.509,4.623070997451982,87.491,68475.43066826824,0.09893894,23.555781
Assam,Kamrup,1517542,311114,628954,9.79993,4.877768277865991,90.20007,62168.36173232768,0.10740983,25.392502
Assam,Kamrup Metropolitan,1253938,293112,490932,4.5254900000000005,4.278016594339365,95.47451,58726.82700420595,0.05610175,13.163249
Assam,Karbi Anglong,956313,177646,383441,17.62987,5.383250959773933,82.37013,60143.64543826132,0.19148774,43.222873
Assam,Karimganj,1228686,247714,399171,27.31031,4.9600991465964785,72.68969,48731.449695040064,0.223364,47.78283
Assam,Kokrajhar,887142,181081,341131,24.95323,4.899144581706529,75.04677,57679.2103180776,0.15424829,35.815265000000004
Assam,Lakhimpur,1042137,204307,429995,24.03395,5.100838444106174,75.96605,61891.334824500045,0.12713146,29.470809
Assam,Morigaon,957423,184602,351148,21.47268,5.18641726525173,78.52732,55014.554695260085,0.18200057,41.593654
Assam,Nagaon,2823768,559340,979998,16.72326,5.0483927485965605,83.27674,52057.99484943522,0.15213531,35.538667000000004
Assam,Nalbari,771639,155248,267623,16.29717,4.970363547356488,83.70283,52023.61466955402,0.09048142,22.780877
Assam,Sivasagar,1151050,248367,485717,19.45598,4.634472373543989,80.54402,63296.59875765605,0.1401463,30.341367
Assam,Sonitpur,1924110,392919,770606,20.70196,4.896963496293129,79.29804,60074.995712303345,0.13280648,30.774661
Assam,Tinsukia,1327929,268598,557196,23.42856,4.943927356123277,76.57144,62939.66017761491,0.19444788,39.969424
Assam,Udalguri,831668,168717,345030,14.26243,4.929366928051115,85.73757,62229.75995228866,0.12901329,30.575018
Bihar,Araria,2811569,568142,1069893,50.08989,4.948708245473843,49.91011,57079.85470034703,0.34559143,68.732068
Bihar,Arwal,700843,118222,236354,51.79644,5.928194413899274,48.20356,50586.36527724469,0.23622583,53.048938
Bihar,Aurangabad,2540073,391898,837770,40.231,6.4814645647591975,59.769,49473.18443210097,0.19297029,44.25855
Bihar,Banka,2034763,381601,771080,52.37865000000001,5.332174181933485,47.62134999999999,56842.983679180325,0.28020579,59.873043
Bihar,Begusarai,2970541,589667,938182,35.06057,5.037658542872503,64.93943,47374.29983292606,0.23935502,49.940446
Bihar,Bhagalpur,3037766,564711,983528,30.28301,5.379328541501759,69.71699,48565.031012921994,0.2209237,45.52241
Bihar,Bhojpur,2728407,416090,822493,33.38687,6.557252036818958,66.61313,45218.30870540942,0.17138065,39.381646
Bihar,Buxar,1706352,261660,538322,33.08519,6.52125659252465,66.91481,47322.18205856704,0.17677366,41.413414
Bihar,Darbhanga,3937385,803012,1223640,39.768730000000005,4.903270436805427,60.231269999999995,46616.2186324172,0.26721257,56.64617199999999
Bihar,Gaya,4391418,688425,1664062,26.62304,6.378934524458002,73.37696,56840.25068895742,0.25388947,55.45995500000001
Bihar,Gopalganj,2562012,413044,728201,41.38166,6.2027580596740295,58.61834,42634.51927625632,0.18471327,42.606002
Bihar,Jamui,1760405,307082,727571,36.568,5.732687034733393,63.432,61994.62623657624,0.30337028,63.989343
Bihar,Jehanabad,1125313,181740,365378,30.14888,6.191884010124354,69.85112000000001,48703.516266141065,0.21430315,45.806473
Bihar,Kaimur (Bhabua),1626384,250884,511163,25.32134,6.482613478739179,74.67866000000001,47144.1246347726,0.20586716,46.65648
Bihar,Katihar,3071029,619076,1013566,67.00985,4.960665572562981,32.99015,49506.175291734464,0.31269411,62.541799
